Start Time,Chip ID,PassFill,Defect Code,Model Name,Tact Time,Grade
2021_0805_07:36:34,T917D101AH05,OK,,2V500DJ7QZ00S,29.6,A
2021_0805_07:50:29,T917D055AE06,OK,,2V500DJ7QZ00S,30.1,A
2021_0805_07:52:17,T917F030AN02,OK,,2V500DJ7QZ00S,29.1,A
2021_0805_07:54:02,T917D118AB01,OK,,2V500DJ7QZ00S,30.8,A
2021_0805_07:55:50,T9173012AN08,OK,,2V500DJ7QZ00S,30.1,A
2021_0805_07:57:53,T917D082AS06,OK,,2V500DJ7QZ00S,30.7,A
2021_0805_08:01:22,T917D090BC04,OK,,2V500DJ7QZ00S,30.3,A
2021_0805_08:03:11,T9173012AN06,OK,,2V500DJ7QZ00S,29.9,A
2021_0805_08:10:46,T917D133AG02,OK,,2V500DJ7QZ00S,30.1,A
2021_0805_08:14:20,T917D055AE01,OK,,2V500DJ7QZ00S,30.0,A
2021_0805_08:16:08,T917D127AB04,OK,,2V500DJ7QZ00S,30.3,A
2021_0805_08:17:56,T917F031AE02,OK,,2V500DJ7QZ00S,30.5,A
2021_0805_08:19:44,T917D136AK07,OK,,2V500DJ7QZ00S,30.4,A
2021_0805_08:24:30,T917D053AD03,OK,,2V500DJ7QZ00S,31.3,A
2021_0805_08:26:19,T917D127AB05,OK,,2V500DJ7QZ00S,31.4,A
2021_0805_08:28:08,T917D061AV02,OK,,2V500DJ7QZ00S,30.7,A
2021_0805_08:29:56,T917D055AL01,OK,,2V500DJ7QZ00S,30.8,A
2021_0805_08:31:43,T9166116BA04,OK,,2V500DJ7QZ00S,31.0,A
2021_0805_08:33:33,T9175055AE01,OK,,2V500DJ7QZ00S,31.8,A
2021_0805_08:35:21,T917F021AS04,OK,,2V500DJ7QZ00S,30.7,A
2021_0805_08:37:55,T917F021AS07,OK,,2V500DJ7QZ00S,30.4,A
2021_0805_08:47:16,T917F013AV04,OK,,2V500DJ7QZ00S,36.0,A
2021_0805_08:49:09,T917F013AF03,OK,,2V500DJ7QZ00S,30.3,A
2021_0805_08:57:31,T917F041AP04,OK,,2V500DJ7QZ00S,30.1,A
2021_0805_08:59:20,T916T014BC01,OK,,2V500DJ7QZ00S,30.2,A
2021_0805_09:01:09,T917D047AA05,OK,,2V500DJ7QZ00S,31.1,A
2021_0805_09:02:58,T917D121BC03,OK,,2V500DJ7QZ00S,30.0,A
2021_0805_09:04:46,T917G113AF04,OK,,2V500DJ7QZ00S,29.6,A
2021_0805_09:06:36,T917E027BC01,OK,,2V500DJ7QZ00S,31.7,A
2021_0805_09:08:25,T917E027BC06,OK,,2V500DJ7QZ00S,30.3,A
2021_0805_09:10:13,T917G126BC05,OK,,2V500DJ7QZ00S,30.3,A
2021_0805_09:12:00,T917G022AP04,OK,,2V500DJ7QZ00S,30.4,A
2021_0805_09:13:48,T917G029AU04,OK,,2V500DJ7QZ00S,30.5,A
2021_0805_09:15:35,T917G022AP06,OK,,2V500DJ7QZ00S,30.2,A
2021_0805_09:17:21,T917G150AB07,OK,,2V500DJ7QZ00S,30.9,A
2021_0805_09:19:10,T917D093AE08,OK,,2V500DJ7QZ00S,30.6,A
2021_0805_09:20:57,T917D056AL05,OK,,2V500DJ7QZ00S,29.8,A
2021_0805_09:22:45,T917D093AE07,OK,,2V500DJ7QZ00S,29.7,A
2021_0805_09:24:32,T917F022AD03,OK,,2V500DJ7QZ00S,30.1,A
2021_0805_09:26:20,T917D134AT04,OK,,2V500DJ7QZ00S,29.9,A
2021_0805_09:29:17,T917F016AJ06,OK,,2V500DJ7QZ00S,30.3,A
2021_0805_09:31:06,T917D093AE03,OK,,2V500DJ7QZ00S,30.8,A
2021_0805_09:32:55,T917F012BA08,OK,,2V500DJ7QZ00S,30.0,A
2021_0805_09:34:43,T917D070AV04,OK,,2V500DJ7QZ00S,30.8,A
2021_0805_09:36:33,T917D070AJ08,OK,,2V500DJ7QZ00S,30.1,A
2021_0805_09:38:21,T917D043AL08,OK,,2V500DJ7QZ00S,29.8,A
2021_0805_09:40:09,T917D082AS01,OK,,2V500DJ7QZ00S,31.2,A
2021_0805_09:41:57,T917D084BD03,OK,,2V500DJ7QZ00S,30.0,A
2021_0805_09:43:45,T917D063AS03,OK,,2V500DJ7QZ00S,30.1,A
2021_0805_09:45:34,T917D063AP06,OK,,2V500DJ7QZ00S,31.0,A
2021_0805_09:47:23,T917D105AN07,OK,,2V500DJ7QZ00S,30.5,A
2021_0805_09:49:25,T917D105AN02,OK,,2V500DJ7QZ00S,30.4,A
2021_0805_09:51:12,T917F022AJ06,OK,,2V500DJ7QZ00S,30.3,A
2021_0805_09:53:15,T917D060AR07,OK,,2V500DJ7QZ00S,30.2,A
2021_0805_09:55:03,T917D100BC04,OK,,2V500DJ7QZ00S,30.4,A
2021_0805_09:56:52,T9166116BC03,OK,,2V500DJ7QZ00S,30.7,A
2021_0805_09:58:45,T9166116BC05,OK,,2V500DJ7QZ00S,30.1,A
2021_0805_10:00:32,T9166116BC08,OK,,2V500DJ7QZ00S,31.0,A
2021_0805_10:02:20,T9166116BC04,OK,,2V500DJ7QZ00S,30.1,A
2021_0805_10:04:09,T9166116BC07,OK,,2V500DJ7QZ00S,30.4,A
2021_0805_10:05:57,T917F016AA03,OK,,2V500DJ7QZ00S,31.1,A
2021_0805_10:07:45,T917D108AG05,OK,,2V500DJ7QZ00S,30.4,A
2021_0805_10:09:35,T917F022AS01,OK,,2V500DJ7QZ00S,30.0,A
2021_0805_10:11:23,T917D087BB01,OK,,2V500DJ7QZ00S,31.2,A
2021_0805_10:13:14,T9171013AV04,OK,,2V500DJ7QZ00S,31.0,A
2021_0805_10:18:45,T917D124AH06,OK,,2V500DJ7QZ00S,30.1,A
2021_0805_10:20:33,T9173011BC04,OK,,2V500DJ7QZ00S,30.1,A
2021_0805_10:22:20,T917D106AS08,OK,,2V500DJ7QZ00S,31.5,A
2021_0805_10:24:08,T917D063AA06,OK,,2V500DJ7QZ00S,30.7,A
2021_0805_10:27:15,T917D054BC03,OK,,2V500DJ7QZ00S,31.6,A
2021_0805_10:29:19,T9178024AD01,OK,,2V500DJ7QZ00S,31.9,A
2021_0805_10:31:08,T917D103AM02,OK,,2V500DJ7QZ00S,30.5,A
2021_0805_10:32:54,T9166118AH01,OK,,2V500DJ7QZ00S,30.5,A
2021_0805_10:34:42,T9166118AH03,OK,,2V500DJ7QZ00S,30.4,A
2021_0805_10:36:32,T9175100BC06,OK,,2V500DJ7QZ00S,31.1,A
2021_0805_10:38:22,T917D101AV06,OK,,2V500DJ7QZ00S,30.8,A
2021_0805_10:40:10,T917D137AU05,OK,,2V500DJ7QZ00S,31.2,A
2021_0805_10:42:12,T917J023AV08,OK,,2V500DJ7QZ00S,30.3,A
2021_0805_10:44:01,T917E057AP01,OK,,2V500DJ7QZ00S,30.7,A
2021_0805_10:45:49,T917G043AS04,OK,,2V500DJ7QZ00S,30.5,A
2021_0805_10:47:39,T917G123BA02,OK,,2V500DJ7QZ00S,30.6,A
2021_0805_10:50:38,T917G043AS07,OK,,2V500DJ7QZ00S,30.6,A
2021_0805_10:53:12,2V500DJ7QZ00,OK,,2V500DJ7QZ00S,1.9,A
2021_0805_10:56:42,T917D060AF03,OK,,2V500DJ7QZ00S,28.5,A
2021_0805_10:58:28,T917D124AG08,OK,,2V500DJ7QZ00S,30.5,A
2021_0805_11:01:01,2V500DJ7QZ00,OK,,2V500DJ7QZ00S,1.7,A
2021_0805_11:02:34,T917F013BA02,OK,,2V500DJ7QZ00S,31.6,A
2021_0805_11:04:23,T9173011AJ07,OK,,2V500DJ7QZ00S,30.6,A
2021_0805_11:12:24,T917D109AN08,OK,,2V500DJ7QZ00S,30.4,A
2021_0805_11:14:12,T917D134AB06,OK,,2V500DJ7QZ00S,30.9,A
2021_0805_11:16:01,T917F020BB05,OK,,2V500DJ7QZ00S,30.5,A
2021_0805_11:18:04,T917F027BD03,OK,,2V500DJ7QZ00S,31.7,A
2021_0805_11:19:52,T917F027AD06,OK,,2V500DJ7QZ00S,29.4,A
2021_0805_11:21:39,T917D077AP03,NG,PCM060278101975800CPCM060278001973800C,2V500DJ7QZ00S,31.0,C5
2021_0805_11:24:51,T917D060BA04,OK,,2V500DJ7QZ00S,31.1,A
2021_0805_11:27:07,T917F030AF01,OK,,2V500DJ7QZ00S,31.3,A
2021_0805_11:28:59,T917D060AF01,OK,,2V500DJ7QZ00S,30.6,A
2021_0805_11:30:48,T917F027BD08,OK,,2V500DJ7QZ00S,30.6,A
2021_0805_11:32:51,T917F027BD01,OK,,2V500DJ7QZ00S,30.7,A
2021_0805_11:34:40,T917K098AT03,OK,,2V500DJ7QZ00S,30.9,A
2021_0805_11:36:42,T917J023BA08,OK,,2V500DJ7QZ00S,31.1,A
2021_0805_11:39:53,T917G085AA02,OK,,2V500DJ7QZ00S,31.0,A
2021_0805_11:41:40,T917D103AR07,OK,,2V500DJ7QZ00S,30.6,A
2021_0805_11:44:50,T9179030AR08,OK,,2V500DJ7QZ00S,30.2,A
2021_0805_11:46:40,T917G134AP04,OK,,2V500DJ7QZ00S,31.6,A
2021_0805_11:48:29,T917J016BA04,OK,,2V500DJ7QZ00S,31.0,A
2021_0805_11:50:17,T917G028AC08,OK,,2V500DJ7QZ00S,30.6,A
2021_0805_11:52:18,T917G041AR01,OK,,2V500DJ7QZ00S,30.8,A
2021_0805_11:55:43,T917G133AM04,OK,,2V500DJ7QZ00S,30.8,A
2021_0805_11:57:32,T917G133AM01,OK,,2V500DJ7QZ00S,30.0,A
2021_0805_12:06:30,T917D046AE03,OK,,2V500DJ7QZ00S,31.5,A
2021_0805_12:08:19,T917F028AF04,OK,,2V500DJ7QZ00S,30.2,A
2021_0805_12:10:09,T917D080AT02,OK,,2V500DJ7QZ00S,30.0,A
2021_0805_12:12:02,T917G025AA08,OK,,2V500DJ7QZ00S,30.4,A
2021_0805_12:15:09,T917G049BB01,OK,,2V500DJ7QZ00S,30.3,A
2021_0805_12:19:43,T917G069AP04,OK,,2V500DJ7QZ00S,30.8,A
2021_0805_12:21:32,T917G049BB06,OK,,2V500DJ7QZ00S,30.2,A
2021_0805_12:23:19,T917G025AA05,OK,,2V500DJ7QZ00S,30.5,A
2021_0805_12:25:08,T917F015AT04,OK,,2V500DJ7QZ00S,29.6,A
2021_0805_12:26:56,T917D047AU02,OK,,2V500DJ7QZ00S,29.5,A
2021_0805_12:28:44,T917D047AU01,OK,,2V500DJ7QZ00S,30.3,A
2021_0805_12:30:32,T917F015AT06,OK,,2V500DJ7QZ00S,30.0,A
2021_0805_12:32:20,T917F015AT03,OK,,2V500DJ7QZ00S,29.8,A
2021_0805_12:34:09,T917D052AJ08,OK,,2V500DJ7QZ00S,30.3,A
2021_0805_12:44:38,T917D055AP04,OK,,2V500DJ7QZ00S,31.3,A
2021_0805_12:46:26,T9166116AF05,OK,,2V500DJ7QZ00S,30.4,A
2021_0805_12:48:26,T917G139AJ07,OK,,2V500DJ7QZ00S,30.9,A
2021_0805_12:50:14,T9166116AK08,OK,,2V500DJ7QZ00S,29.9,A
2021_0805_13:01:08,T9166113AH08,OK,,2V500DJ7QZ00S,30.0,A
2021_0805_13:02:55,T9166116AH05,OK,,2V500DJ7QZ00S,30.7,A
2021_0805_13:04:42,T916H052AP03,OK,,2V500DJ7QZ00S,31.2,A
2021_0805_13:08:13,T916H052AP07,OK,,2V500DJ7QZ00S,30.9,A
2021_0805_13:10:01,T911K165AS07,OK,,2V500DJ7QZ00S,31.6,A
2021_0805_13:15:16,T9166118AH08,NG,PCM010309201211800CPCM010235301078800CPCM010175801200800CPCM010073400792800CPCM010023001211800C,2V500DJ7QZ00S,31.2,C2
2021_0805_13:17:17,T917D118AK05,OK,,2V500DJ7QZ00S,31.0,A
2021_0805_13:33:00,T917D061AF03,OK,,2V500DJ7QZ00S,30.2,A
2021_0805_13:34:47,T917F030AN04,OK,,2V500DJ7QZ00S,30.1,A
2021_0805_13:36:34,T917F027AB06,OK,,2V500DJ7QZ00S,29.9,A
2021_0805_13:38:28,T9175063AL08,OK,,2V500DJ7QZ00S,30.8,A
2021_0805_13:40:38,T9179038AT08,OK,,2V500DJ7QZ00S,30.0,A
2021_0805_13:49:59,2V500DJ7QZ00,OK,,2V500DJ7QZ00S,30.9,A
2021_0805_13:53:13,T917G121AB02,OK,,2V500DJ7QZ00S,31.2,A
2021_0805_13:55:02,T916T057AF06,OK,,2V500DJ7QZ00S,31.0,A
2021_0805_13:57:00,T9179033AN06,OK,,2V500DJ7QZ00S,30.3,A
2021_0805_13:59:00,T917D054AH03,OK,,2V500DJ7QZ00S,30.8,A
2021_0805_14:02:54,T917D120AV04,OK,,2V500DJ7QZ00S,31.8,A
2021_0805_14:04:42,T917D094AP07,OK,,2V500DJ7QZ00S,31.6,A
2021_0805_14:06:30,T917D046AT02,OK,,2V500DJ7QZ00S,30.3,A
2021_0805_14:08:17,T917D116AT07,OK,,2V500DJ7QZ00S,30.5,A
2021_0805_14:10:04,T917G144BB04,OK,,2V500DJ7QZ00S,29.4,A
2021_0805_14:12:03,T917G144BB08,OK,,2V500DJ7QZ00S,31.1,A
2021_0805_14:13:51,T917D088AE05,OK,,2V500DJ7QZ00S,31.3,A
2021_0805_14:15:52,T916M047BA01,OK,,2V500DJ7QZ00S,30.1,A
2021_0805_14:20:29,T917F022BC03,OK,,2V500DJ7QZ00S,30.6,A
2021_0805_14:43:43,T917G147AC05,OK,,2V500DJ7QZ00S,30.3,A
2021_0805_14:45:30,T917G113AC02,OK,,2V500DJ7QZ00S,30.5,A
2021_0805_14:47:18,T917G027AH05,OK,,2V500DJ7QZ00S,31.0,A
2021_0805_14:49:06,T917G087AP03,OK,,2V500DJ7QZ00S,30.5,A
2021_0805_14:50:53,T917G149AS08,OK,,2V500DJ7QZ00S,31.5,A
2021_0805_14:52:56,T917F028AC01,OK,,2V500DJ7QZ00S,29.9,A
2021_0805_14:54:43,T917F030AV08,OK,,2V500DJ7QZ00S,29.6,A
2021_0805_14:56:29,T917E049AQ08,OK,,2V500DJ7QZ00S,31.7,A
2021_0805_14:58:17,T9175071AF05,OK,,2V500DJ7QZ00S,31.0,A
2021_0805_15:00:05,T917E049AQ01,OK,,2V500DJ7QZ00S,30.3,A
2021_0805_15:01:52,T917E049AQ02,OK,,2V500DJ7QZ00S,30.8,A
2021_0805_15:03:39,T9179044AG08,OK,,2V500DJ7QZ00S,29.8,A
2021_0805_15:05:27,T917F013AF02,OK,,2V500DJ7QZ00S,30.1,A
2021_0805_15:07:23,T917G144BB01,OK,,2V500DJ7QZ00S,30.7,A
2021_0805_15:09:11,T917F021AS05,OK,,2V500DJ7QZ00S,30.5,A
2021_0805_15:12:18,T916T049AG07,OK,,2V500DJ7QZ00S,31.1,A
2021_0805_15:40:36,T916D063AV05,OK,,2V500DJ7QZ00S,30.4,A
2021_0805_15:45:00,T9166116BA03,OK,,2V500DJ7QZ00S,31.0,A
2021_0805_15:48:13,T916H013AT01,OK,,2V500DJ7QZ00S,30.2,A
2021_0805_15:50:02,T916H013AT04,OK,,2V500DJ7QZ00S,29.9,A
2021_0805_15:51:52,T916H013AT05,OK,,2V500DJ7QZ00S,30.7,A
2021_0805_15:53:40,T916T025AD04,OK,,2V500DJ7QZ00S,30.8,A
2021_0805_15:55:41,T916T025AD05,OK,,2V500DJ7QZ00S,30.3,A
2021_0805_15:57:29,T916T060AB08,OK,,2V500DJ7QZ00S,31.6,A
2021_0805_16:04:48,T917F021AS06,OK,,2V500DJ7QZ00S,29.9,A
2021_0805_16:06:36,T917D053BC08,NG,PCMCK0227601931800C,2V500DJ7QZ00S,30.6,E
2021_0805_16:08:23,T916M048AD05,OK,,2V500DJ7QZ00S,31.3,A
2021_0805_16:10:11,T917G016AT02,OK,,2V500DJ7QZ00S,30.3,A
2021_0805_16:12:05,T9175096AF08,OK,,2V500DJ7QZ00S,30.0,A
2021_0805_16:23:43,T917G018AF03,OK,,2V500DJ7QZ00S,30.9,A
2021_0805_16:25:31,T917G016AT03,OK,,2V500DJ7QZ00S,30.8,A
2021_0805_16:27:31,T917G016AT07,OK,,2V500DJ7QZ00S,30.1,A
2021_0805_16:29:24,T917D053BC07,NG,PCM010316801051800CPCM010250801089800CPCM010234401101800CPCM010196401200800CPCM010021701268800C,2V500DJ7QZ00S,30.0,C2
2021_0805_16:31:10,T917G132BD04,OK,,2V500DJ7QZ00S,30.6,A
